Nome,Lotação,Cargo,RemuneraçãoParadigma(1),VantagensPessoais(2),"Subs., Dif. Subs., Função Conf. ou Cargo Comis.",Indenizações(3),VantagensEventuais(4),Gratificações(5),Total deCréditos(6),PrevidênciaPública(7),Impostode Renda(8),DescontosDiversos(9),Retençãopor TetoConst.(10),Total deDébitos(11),RendimentoLíquido(12),Remuneraçãodo Órgão deorigem(13),Diárias(14)
LUIZ ANTONIO CUNHA,FORUM DA COMARCA DE PIRACICABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","3.859,56",,"37.998,84","3.184,23","6.278,52",,,"9.462,75","28.536,09",,"3.309,16"
MARIO RUBENS ASSUMPCAO FILHO,2ª VARA CRIMINAL DA COMARCA DE CARAPICUÍBA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73",,,"34.139,28","3.184,23","4.070,64","9.216,05",,"16.470,92","17.668,36",,"1.654,58"
CARLOS EDUARDO LORA FRANCO,3ª VARA CRIMINAL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73",,,"34.139,28","3.184,23","6.215,55",,,"9.399,78","24.739,50",,
RENATO ZANELA PANDIN E CRUZ GANDINI,2ª VARA CÍVEL DA COMARCA DE PRAIA GRANDE,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","0,01",,"34.139,29","3.184,23","6.215,55",,,"9.399,78","24.739,51",,
EVA LOBO CHAIB DIAS JORGE,12ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.542,93",,,"34.490,48","3.184,23","6.215,55",,,"9.399,78","25.090,70",,"1.654,58"
LUCIANA MENEZES SCORZA DE PAULA BARBOSA,F D DE IEPÊ DA COMARCA DE RANCHARIA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"814,00","7.257,00",,"34.196,92","2.873,85","6.651,26",,,"9.525,11","24.671,81",,
MARCELO DE MORAES SABBAG,1ª VARA FAZ PÚBL COM DE SÃO JOSÉ DO RIO PRETO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.659,84",,"44.799,12","3.184,23","6.215,55",,,"9.399,78","35.399,34",,
MOISES HARLEY ALVES COUTINHO OLIVEIRA,2ª VARA DA COMARCA DE TUPI PAULISTA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.492,57","11.551,69",,"43.170,18","2.873,85","5.798,60","66,00",,"8.738,45","34.431,73",,"2.370,87"
MARIA CRISTINA DE ALMEIDA BACARIM,40ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","232,27",,"34.371,55","3.184,23","6.215,55","2.251,41",,"11.651,19","22.720,36",,
CASSIO ORTEGA DE ANDRADE,3ª VARA CÍVEL DA COMARCA DE RIBEIRÃO PRETO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.163,41","111,00",,"9.458,64","34.961,45",,
LAURA MOTA LIMA DE OLIVEIRA MACEDO,1ª VARA CÍVEL DO FORO REGIONAL III  JABAQUARA,Juiz de Direito Titular I,"28.947,55",,,"5.191,73",,,"34.139,28","3.184,23","6.215,55","3.609,27",,"13.009,05","21.130,23",,
ANDREZA MARIA ARNONI,VARA DA REGIAO SUL 1 VIOL DOM E FAM CONTRA MULHER,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73",,"14.473,77","48.613,05","4.776,34","6.215,55",,,"10.991,89","37.621,16",,
CLAUDIA BARRICHELLO,1ª VARA CÍVEL DO F R XII  NOSSA SENHORA DO Ó,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.407,16",,"44.546,44","3.184,23","6.111,27",,,"9.295,50","35.250,94",,
RENATA BIAGIONI BELAM,VARA DAS EXEC CRIMINAIS DA COMARCA DE MARÍLIA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55","222,00",,"9.621,78","34.798,31",,"1.654,58"
FABIO MARCELO HOLANDA,1ª VARA DA COMARCA DE VINHEDO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"814,00","18.965,13",,"47.279,30","3.025,01","7.512,78",,,"10.537,79","36.741,51",,
ELAINE FARIA EVARISTO,20ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55","37,00",,"9.436,78","34.983,31",,
RODRIGO SOARES,5ª VARA CÍVEL DA COMARCA DE MAUÁ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.407,16",,"44.546,44","3.184,23","6.163,41","2.922,44",,"12.270,08","32.276,36",,
VALERIA PINHEIRO VIEIRA,4ª VARA CÍVEL DA COMARCA DE SÃO CAETANO DO SUL,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.798,41",,"42.490,31","3.025,01","5.861,30",,,"8.886,31","33.604,00",,
ANDREA DE ABREU E BRAGA,10ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55",,,"9.399,78","35.020,31",,
DOUGLAS IECCO RAVACCI,33ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55","6.841,72",,"16.241,50","28.178,59",,
FABIANA BISSOLLI SCARDOELI ALVES,4ª VARA FAMÍLIA E SUCESSÕES DO FR II  SANTO AMARO,Juiz de Direito Titular I,"28.947,55",,,"814,00","10.280,81",,"40.042,36","3.184,23","6.215,55",,,"9.399,78","30.642,58",,
ALENA COTRIM BIZZARRO,2ª VARA DA COMARCA DE ITAPECERICA DA SERRA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.798,41",,"42.490,31","3.025,01","5.809,17","296,00",,"9.130,18","33.360,13",,
GUSTAVO PISAREWSKI MOISES,VARA DA FAZENDA PÚBLICA DA C DE JUNDIAÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55",,,"9.399,78","35.020,31",,
GUILHERME MADEIRA DEZEM,44ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73",,,"34.139,28","3.184,23","6.215,55",,,"9.399,78","24.739,50",,
CRISTIANO CANEZIN BARBOSA,3ª VARA CÍVEL DA COMARCA DE OURINHOS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30","148,00",,"9.034,31","23.657,59",,
MARSHAL RODRIGUES GONCALVES,VARA JUIZ ESPEC CÍVEL E CRIM C STA BÁRBARA DOESTE,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.399,61","9.924,76",,"42.824,54","3.025,01","5.809,17","4.666,75",,"13.500,93","29.323,61",,"1.654,58"
FLAVIA CASTELLAR OLIVERIO,2ª VARA JÚRI FORO REGIONAL I,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55",,,"9.399,78","35.020,31",,
FLAVIA CRISTINA CAMPOS LUDERS,2ª VARA DA COMARCA DE VÁRZEA PAULISTA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.798,41",,"42.490,31","3.025,01","5.861,30",,,"8.886,31","33.604,00",,
EDILIZ CLARO DE VICENTE REGINATO,4ª VARA FAMÍLIA E SUCESSÕES DO FR II  SANTO AMARO,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55",,,"9.399,78","35.020,31",,
FRANCISCO JOSE DIAS GOMES,2ª VARA DA COMARCA DE PIRAPOZINHO,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","9.340,31",,"40.657,96","2.873,85","5.524,95",,,"8.398,80","32.259,16",,
SERGIO AUGUSTO DE FREITAS JORGE,2ª VARA DA COMARCA DE PEDERNEIRAS,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","11.299,01",,"42.616,66","2.873,85","5.902,87","29,00",,"8.805,72","33.810,94",,"1.654,58"
CASSIO MAHUAD,1ª VARA DA COMARCA DE PIEDADE,Juiz de Direito de Entrância Inicial,"26.125,92",,,"814,00","11.299,01",,"38.238,93","2.873,85","5.902,87","37,00",,"8.813,72","29.425,21",,
FERNANDA MARTINS PERPETUO DE LIMA VAZQUEZ,1ª VARA CRIMINAL DA COMARCA DE BARRETOS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.798,41",,"42.490,31","3.025,01","5.861,30",,,"8.886,31","33.604,00",,
FABIO MENDES FERREIRA,FORUM DA COMARCA DE PRESIDENTE PRUDENTE,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17","1.470,73",,"5.191,73","12.344,84",,"46.507,47","3.186,79","6.619,29","7.229,00",,"17.035,08","29.472,39",,
LUCAS TAMBOR BUENO,4ª VARA CRIMINAL DA COMARCA DE SANTO ANDRÉ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55",,,"9.399,78","35.020,31",,
LUIZ ANTONIO CARRER,13ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55",,,"5.650,73","10.407,16",,"45.005,44","3.184,23","6.059,14",,,"9.243,37","35.762,07",,
CLAUDIONOR ANTONIO CONTRI JUNIOR,3ª VARA DA COMARCA DE CRUZEIRO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"7.826,73","9.924,76",,"45.251,66","3.025,01","4.375,15","10.301,25",,"17.701,41","27.550,25",,
ROGERIO TIAGO JORGE,4ª VARA DA COMARCA DE JABOTICABAL,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.798,41",,"42.490,31","3.025,01","5.809,17",,,"8.834,18","33.656,13",,
ALEXANDRE GONZAGA BAPTISTA DOS SANTOS,FORUM DA COMARCA DE RIBEIRÃO PRETO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"15.901,73","11.197,37",,"54.599,27","3.025,01","6.141,74","2.442,37",,"11.609,12","42.990,15",,"1.654,58"
CANDIDO ALEXANDRE MUNHOZ PEREZ,FORUM DA COMARCA DE GUARUJÁ,Juiz de Direito de Entrância Final,"28.947,55",,,"7.319,73","11.888,96",,"48.156,24","3.184,23","6.215,55","29,00",,"9.428,78","38.727,46",,
FERNANDO HENRIQUE PINTO,FORUM DA COMARCA DE JACAREÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"6.350,93",,,"35.298,48","3.184,23","6.215,55",,,"9.399,78","25.898,70",,
CLAUDIO SALVETTI D ANGELO,3ª VARA CÍVEL DO FORO REGIONAL II  SANTO AMARO,Juiz de Direito Titular I,"28.947,55",,,"7.401,73","12.015,31",,"48.364,59","3.184,23","6.059,14",,,"9.243,37","39.121,22",,
PAULO ANDRE BUENO DE CAMARGO,2ª VARA CÍVEL DO FORO REGIONAL II  SANTO AMARO,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55","37,00",,"9.436,78","34.983,31",,
CRISTINA ALVES BIAGI FABRI,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","20.216,92","14.473,77","67.382,59","4.617,12","7.689,62",,,"12.306,74","55.075,85",,
ARIANE DE FATIMA ALVES DIAS PAUKOSKI SIMONI,1ª VARA CÍVEL FORO REGIONAL I  SANTANA,Juiz de Direito Titular II,"28.947,55",,,"814,00","10.280,81",,"40.042,36","3.184,23","6.215,55","148,00",,"9.547,78","30.494,58",,
LUCIANA LEAL JUNQUEIRA VIEIRA REBELLO DA SILVA,2ª VARA FAMÍLIA E SUCESSÕES FR III  JABAQUARA,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55","2.506,62",,"11.906,40","32.513,69",,
ADRIANA GENIN FIORE BASSO,3ª VARA CÍVEL DO FORO REGIONAL IV  LAPA,Juiz de Direito Titular I,"28.947,55",,,"814,00","7.389,74",,"37.151,29","3.184,23","6.163,41",,,"9.347,64","27.803,65",,
FABIO EDUARDO BASSO,10ª VARA DA FAMÍLIA E DAS SUCESSÕES,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55",,,"9.399,78","35.020,31",,
VANESSA CHRISTIE ENANDE,F D DE GUARAREMA DA COMARCA DE MOGI DAS CRUZES,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.291,63","9.466,66",,"40.884,21","2.873,85","5.524,95","6.204,49",,"14.603,29","26.280,92",,
ALEXANDRE DALBERTO BARBOSA,1ª VARA CÍVEL DA COMARCA DE RIO CLARO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55","111,00",,"9.510,78","34.909,31",,
LAERCIO JOSE MENDES FERREIRA FILHO,2ª VARA CRIMINAL DA COMARCA DE BRAGANÇA PAULISTA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.924,76",,"42.616,66","3.025,01","5.809,17","6.533,10",,"15.367,28","27.249,38",,
ANDERSON SUZUKI,11ª VARA DA FAZENDA PÚBLICA,Juiz de Direito Titular I,"28.947,55",,,"6.024,03","10.280,81",,"45.252,39","3.184,23","6.215,55","6.841,72",,"16.241,50","29.010,89",,
LUIS GUILHERME PIAO,2ª VARA CRIMINAL DA C DE SÃO JOSÉ DO RIO PRETO,Juiz de Direito de Entrância Final,"28.947,55",,,"6.945,03","10.280,81","14.473,77","60.647,16","4.776,34","6.215,55",,,"10.991,89","49.655,27",,
GUSTAVO CARVALHO DE BARROS,3ª VARA CÍVEL DA COMARCA DE MATÃO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.798,41",,"42.490,31","3.025,01","5.757,03",,,"8.782,04","33.708,27",,
RODRIGO OTAVIO MACHADO DE MELO,FORUM DA COMARCA DE BAURU,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","16.070,15",,"50.209,43","3.184,23","6.938,25","74,00",,"10.196,48","40.012,95",,
LISSANDRA REIS CECCON,5ª VARA CRIMINAL DA COMARCA DE CAMPINAS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.966,13","10.280,81",,"45.194,49","3.184,23","6.215,55",,,"9.399,78","35.794,71",,
CAIO MOSCARIELLO RODRIGUES,VARA REGIAO 2 LESTE VIOL DOM FAM CONTRA A MULHER,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.280,81",,"44.420,09","3.184,23","6.215,55","111,00",,"9.510,78","34.909,31",,
MARIA CRISTINA CARVALHO SBEGHEN,FORUM DA COMARCA DE MACATUBA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","9.466,66","13.062,96","53.847,27","4.310,77","5.524,95",,,"9.835,72","44.011,55",,
PAULO ALEXANDRE AYRES DE CAMARGO,1ª VARA CÍVEL DA COMARCA DE JACAREÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"814,00","10.407,16",,"40.168,71","3.184,23","6.163,41","37,00",,"9.384,64","30.784,07",,
JOSE CARLOS GONCALVES XAVIER DE AQUINO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.245,20",,"5.643,51","18.569,60","686,38","61.615,80","3.639,69","7.258,48","5.913,78",,"16.811,95","44.803,85",,
JOSE DAMIAO PINHEIRO MACHADO COGAN,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","22.383,41",,"64.290,18","3.638,42","7.236,00","7.111,73",,"17.986,15","46.304,03",,
ADRIANA TAYANO FANTON FURUKAWA,6ª VARA CÍVEL DA COMARCA DE SOROCABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.742,32","10.028,13",,"44.718,00","3.184,23","6.215,55","37,00",,"9.436,78","35.281,22",,
ALEXANDRE ZANETTI STAUBER,4ª VARA CÍVEL DA COMARCA DE SANTOANDRÉ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55",,,"9.399,78","34.767,63",,
ADRIANA NOLASCO DA SILVA,2ª VARA CÍVEL DA COMARCA DE JUNDIAÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"814,00","10.028,13",,"39.789,68","3.184,23","6.163,41","111,00",,"9.458,64","30.331,04",,
GISLAINE DE BRITO FALEIROS VENDRAMINI,FORUM DA COMARCA DE SÃO JOSÉ DO RIO PRETO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"8.798,54","11.475,51",,"47.774,22","3.025,01","6.259,33","37,00",,"9.321,34","38.452,88",,"12.409,36"
CARLOS EDUARDO SILOS DE ARAUJO,2ª VARA DA COMARCA DE SERRA NEGRA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","10.919,98",,"42.237,63","2.873,85","5.746,46",,,"8.620,31","33.617,32",,
LUIZ ROGERIO MONTEIRO DE OLIVEIRA,20ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73",,,"34.139,28","3.184,23","6.215,55",,,"9.399,78","24.739,50",,
CARLO MAZZA BRITTO MELFI,5ª VARA CÍVEL DA COMARCA DE SÃO BERNARDO DO CAMPO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55",,,"9.399,78","34.767,63",,
ALESSANDRA LASKOWSKI,1ª VARA CÍVEL DA COMARCA DE MOGI DAS CRUZES,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","1.655,52",,"35.794,80","3.184,23","6.215,55","481,00",,"9.880,78","25.914,02",,
PAOLO PELLEGRINI JUNIOR,FORUM DA COMARCA DE TUPÃ,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"7.977,33","9.545,73",,"45.023,23","3.025,01","5.861,30","2.551,05",,"11.437,36","33.585,87",,"5.410,39"
ELIETE DE FATIMA GUARNIERI,3ª VARA CÍVEL DA COMARCA DE SANTA BÁRBARA DOESTE,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.545,73",,"42.237,63","3.025,01","5.861,30","5.304,71",,"14.191,02","28.046,61",,
ANELISE SOARES,5ª VARA CÍVEL DA COMARCA DE BARUERI,Juiz de Direito de Entrância Final,"28.947,55",,,"814,00","10.028,13",,"39.789,68","3.184,23","6.215,55",,,"9.399,78","30.389,90",,
FABIO FRANCISCO TABORDA,VARA DA FAZENDA PÚBLICA DA COM DE SÃO VICENTE,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55",,,"9.399,78","34.767,63",,
ANDRE MATTOS SOARES,VARA DA FAZENDA PÚBLICA DA C DE DIADEMA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55",,,"9.399,78","34.767,63",,
LUIZ RENATO BARIANI PEREZ,1ª VARA CÍVEL DO FORO REGIONAL VII  ITAQUERA,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55","29,00",,"9.428,78","34.738,63",,
ALEXANDRE DARTANHAN DE MELLO GUERRA,VARA DA FAZENDA PÚBLICA DA COM DE SOROCABA,Juiz de Direito de Entrância Final,"28.947,55",,,"814,00","10.028,13",,"39.789,68","3.184,23","6.215,55","29,00",,"9.428,78","30.360,90",,
ANA PAULA GOMES GALVAO VIEIRA DE MORAES,FORO REGIONAL II  SANTO AMARO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55","6.989,72",,"16.389,50","27.777,91",,
ROGERIO DE TOLEDO PIERRI,VARA DA INFANCIA E DA JUVENTUDE DA C DE PIRACICABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55","2.016,33",,"11.416,11","32.751,30",,
CASSIO HENRIQUE DOLCE DE FARIA,2ª VARA CÍVEL DA COMARCA DE ITU,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55","29,00",,"9.428,78","34.738,63",,
MARIELLA AMORIM NUNES RIVAU ALVAREZ,3ª VARA DA FAMÍLIA E SUCESSÕES DA C DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55",,,"814,00","15.817,47",,"45.579,02","3.184,23","6.938,25",,,"10.122,48","35.456,54",,
CARMEN CRISTINA FERNANDEZ TEIJEIRO E OLIVEIRA,5ª VARA DA FAZENDA PÚBLICA,Juiz de Direito Titular I,"28.947,55",,,"814,00","10.028,13",,"39.789,68","3.184,23","6.215,55",,,"9.399,78","30.389,90",,
RENATA SANCHEZ GUIDUGLI GUSMAO,VARA DO JUIZADO ESPECIAL CRIMINAL DA C DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55",,,"9.866,73","10.028,13","14.473,77","63.316,18","4.776,34","6.215,55",,,"10.991,89","52.324,29",,
FREDERICO DOS SANTOS MESSIAS,4ª VARA CÍVEL DA COMARCA DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55",,,"11.226,73","10.028,13",,"50.202,41","3.184,23","6.215,55",,,"9.399,78","40.802,63",,"4.136,45"
DANIELA MIE MURATA BARRICHELLO,3ª VARA CRIMINAL DA COMARCA DE LIMEIRA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","22.893,63",,"57.032,91","3.184,23","6.215,55","2.875,40",,"12.275,18","44.757,73",,
LUCIANI RETTO DA SILVA,VARA JUIZADO ESP CÍVEL FR V  SÃO MIGUEL PAULISTA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55",,,"9.399,78","34.767,63",,
ADRIANA CRISTINA PAGANINI DIAS SARTI,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.475,51",,"44.167,41","3.025,01","6.259,33",,,"9.284,34","34.883,07",,
DANIEL FABRETTI,5ª VARA CIVEL DO FORO REGIONAL VII  ITAQUERA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","9.901,78",,"44.041,06","3.184,23","6.215,55","37,00",,"9.436,78","34.604,28",,
GUSTAVO SCAF DE MOLON,VARA DA INFÂNCIA E JUVENTUDE DA C DE SOROCABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55","3.148,95",,"12.548,73","31.618,68",,
FERNANDO CESAR CARRARI,26ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","21,26",,"34.160,54","3.184,23","6.215,55","37,00",,"9.436,78","24.723,76",,
PAULO SERGIO JORGE FILHO,FORUM DA COMARCA DE FRANCA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.475,51",,"44.167,41","3.025,01","6.207,20",,,"9.232,21","34.935,20",,
FERNANDA ROSSANEZ VAZ DA SILVA,1ª VARA CÍVEL FORO REGIONAL I  SANTANA,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","10.028,13","14.473,77","58.641,18","4.776,34","6.215,55",,,"10.991,89","47.649,29",,
JOSUE MODESTO PASSOS,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.475,51",,"44.167,41","3.025,01","6.259,33","111,00",,"9.395,34","34.772,07",,
HUMBERTO ISAIAS GONCALVES RIOS,FORUM DA COMARCA DE ARARAQUARA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.475,51",,"44.167,41","3.025,01","6.102,92",,,"9.127,93","35.039,48",,
SIZARA CORRAL DE AREA LEAO MUNIZ ANDRADE,FORUM DA COMARCA DE PRESIDENTE PRUDENTE,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.475,51","14.473,77","58.641,18","4.617,12","6.259,33","37,00",,"10.913,45","47.727,73",,
IBERE DE CASTRO DIAS,V INF JUV PROTETIVAE CIVIL DA C DE GUARULHOS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","19.298,20",,"53.437,48","3.184,23","6.215,55","29,00",,"9.428,78","44.008,70",,
LUIS MANUEL FONSECA PIRES,3ª VARA DA FAZENDA PÚBLICA,Juiz de Direito Titular I,"28.947,55",,,"5.389,71","10.028,13",,"44.365,39","3.184,23","6.215,55",,,"9.399,78","34.965,61",,
ADRIANE BANDEIRA PEREIRA,VARA DO JUIZADO ESPEC CÍVEL DA C DE CATANDUVA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.803,55","10.028,13",,"44.779,23","3.184,23","6.163,41",,,"9.347,64","35.431,59",,"790,29"
CAROLINA DE FIGUEIREDO DORLHIAC NOGUEIRA,38ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"814,00","10.028,13",,"39.789,68","3.184,23","6.215,55",,,"9.399,78","30.389,90",,
ERIKA RICCI,1ª VARA CÍVEL DA COMARCA DE SÃO CAETANO DO SUL,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","13.212,33","13.750,08","59.654,31","4.537,51","5.975,92","2.680,12",,"13.193,55","46.460,76",,
MARCIO ESTEVAN FERNANDES,4ª VARA CÍVEL DA COMARCA DE JUNDIAÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","4.287,32","6.215,55",,,"10.502,87","33.664,54",,
MAYRA CALLEGARI GOMES DE ALMEIDA,FORUM DA COMARCA DE RIBEIRÃO PRETO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","15.335,07",,"48.026,97","3.025,01","6.491,60",,,"9.516,61","38.510,36",,
FRANCISCA CRISTINA MULLER DE ABREU DALL AGLIO,2ª VARA DA COMARCA DE PIEDADE,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.545,73",,"42.237,63","3.025,01","5.861,30","37,00",,"8.923,31","33.314,32",,
VANESSA RIBEIRO MATEUS,8ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","6.215,55","148,00",,"9.547,78","34.619,63",,
FERNANDO ANTONIO TASSO,15ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","10.028,13","14.473,77","58.641,18","4.776,34","6.215,55","3.327,69",,"14.319,58","44.321,60",,
LAURA MANIGLIA PUCCINELLI DINIZ,FORUM DA COMARCA DE FRANCA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"814,00","11.475,51",,"39.789,68","3.025,01","6.259,33",,,"9.284,34","30.505,34",,"1.654,58"
CIBELE FRIGI RODRIGUES RIZZI,VARA JUIZADO ESPEC CÍVEL E CRIM C DE RIO CLARO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","19.677,31",,"53.816,59","3.184,23","7.999,71","185,00",,"11.368,94","42.447,65",,
NATALIA GARCIA PENTEADO SOARES MONTI,3ª VARA DO JUIZADOESPECIAL CIVEL DA COM DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","10.028,13","14.473,77","58.641,18","4.776,34","6.215,55","111,00",,"11.102,89","47.538,29",,
ANTONIO AUGUSTO GALVAO DE FRANCA,4ª VARA DA FAZENDA PÚBLICA,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","10.028,13",,"44.167,41","3.184,23","4.242,84","7.444,81",,"14.871,88","29.295,53",,
